start_time	end_time	translated_text
0.10	2.90	일란이라면 일어나서 당신이 어디 있는지 설명할 수도 있을 거예요.
2.90	3.70	잘 지내세요?
3.70	5.20	얼마나 많은 나무를 자르는가.
5.20	13.70	이렇게 큰 성공을 거둔 사람들을 모시는 것은 영광스러운 일이며, 그는 정말 열심히 일하고 있으며 운영해야 할 사업도 가지고 있습니다.
13.80	16.10	여러 면에서 이 일을 어떻게 해왔는지 궁금합니다.
16.10	22.30	그는 많은 것을 희생했고, 그 결과 많은 칭찬을 받았습니다.
22.30	28.60	내가 말해드리겠지만 그 사람도 맞고 있고 우리는 그걸 예상했고 그게 작동 방식이에요.
28.60	31.00	그러니까 저는 일론 머스크를 원해요.
31.00	32.30	몇 마디 말씀해 주세요.
33.00	33.30	감사합니다.
34.10	34.50	감사합니다, 선생님.
34.50	34.90	대통령.
35.50	41.10	글쎄요, 물론 여기에는 실제로 기술 지원이 몇 가지 있습니다.
46.40	52.00	단백질의 역할을 문자 그대로 설명하면 정부와 컴퓨터 시스템을 고치는 데 도움이 되는 것입니다.
52.00	54.40	이러한 시스템 중 다수는 오래되었습니다.
54.40	58.80	그들은 시스템 소프트웨어가 작동하지 않아서 많은 실수를 했다는 사실을 전달하지 않습니다.
60.40	66.50	우리는 실제로 문자를 보냈어요. 아이러니하긴 하지만 사실이거든요.
67.80	81.30	도지팀의 전반적인 목표는 더 이상 국가 재정을 유지할 수 없는 상황, 즉 수조 달러에 달하는 적자와 국가 부채에 대한 이자율을 높이는 문제를 해결하는 것입니다.
81.50	89.70	지금은 국방부 지출을 초과하고 있습니다. 우리가 대중에게 공개한 인상적인 금액이지만, 우리가 이자에 지출한 금액은 2조 달러가 넘습니다.
90.10	93.60	이런 상황이 계속된다면 그 나라는 사실상 파산하게 될 것이다.
94.00	104.90	선택 사항이 아니라 필수적인 사항입니다. 제가 여기에 있는 이유이고 많은 비난을 받고, 괜히 죽음의 위협을 받기도 합니다.
106.50	110.00	하지만 우리가 이렇게 하지 않으면 미국은 파산할 것입니다.
110.10	114.00	자신감을 가지고 해야 하는 거예요.
114.00	116.10	이 시점에서 나무를 두드려 보세요.
116.40	119.90	그들에게 맡기면 안 돼, 가자.
120.10	125.70	그 중 하나는 우리가 실제로 1조 달러를 절약할 수 있다는 것입니다.
126.00	136.50	그것은 7조 달러 예산의 약 15%가 될 것입니다. 분명히 저는 이 방에 있는 모든 사람들의 지원 없이는 이 일을 끝낼 수 없을 것입니다. 저는 여러분의 지원에 감사드리고 싶습니다.
136.50	137.30	감사합니다.
137.30	139.80	이건 그가 중요하게 여겼던 것에 한해서만 가능한 일이에요.
140.90	149.90	그러니 이건 대통령과 기관 및 부서가 여러분이 말하는 목표를 달성하도록 돕는 기능을 지원하는 데 정말 해롭습니다.
150.10	156.80	생산에서 15%를 효과적으로 절감하고 사기와 낭비를 방지합니다.
158.30	159.70	영수증을 가져오세요.
159.70	168.90	그는 이 실제를 무시하고, 그냥 그 덕아웃으로 가서 항목별로 줄을 서서 각 항목을 지정해서 우리가 할 수 있도록 밀어붙입니다.
168.90	175.20	우리는 실수를 할 것이고, 완벽하지는 않을 것입니다. 하지만 실수를 했을 때, 그 실수는 빨리 해결될 것입니다.
176.10	181.40	예를 들어, USAID와 관련하여 우리가장 잘하는 일 중 하나가 갑자기 잠깐 취소되었습니다.
181.40	183.40	에볼라가 도로 예방에 도움이 되나요?
183.40	184.80	저는 우리 모두가 예방이라는 목표를 원한다고 생각합니다.
185.10	189.20	우리는 진화하는 예방을 즉시 복구했고 중단이 없었습니다.
191.10	193.10	하지만 우리는 빠르게 움직여야 합니다.
193.50	206.90	2026년 회계연도에 1조 달러의 적자를 줄이려면 지금부터 9월 말까지 매일 40억 달러를 절약해야 합니다.
207.70	209.60	하지만 우리는 그것을 할 수 없지만, 할 것입니다.
210.60	210.80	하지만,
