start_time	end_time	translated_text
0.20	5.10	Doge 팀의 전반적인 목표는 엄청난 적자를 해소하는 것입니다.
5.10	13.60	우리는 국가적으로 수조 달러의 적자와 국가 부채에 대한 이자율을 유지할 수 없습니다.
13.90	22.10	지금은 국방부 지출을 초과합니다. 우리는 국방부에 많은 돈을 썼지만, 이자로만 1조 달러가 넘게 지출하고 있습니다.
22.30	25.90	이런 상황이 계속된다면 그 나라는 사실상 파산하게 될 것이다.
26.40	29.80	그것은 선택 사항이 아니라 필수적인 사항입니다.
30.40	42.50	그게 제가 여기 온 이유고 많은 비난을 받고 죽음의 위협도 많이 받았어요. 장관님, 저는 일어섰어요. 알다시피요, 하지만 우리가 이것을 하지 않으면 미국은 파산할 거예요.
42.50	44.40	그렇기 때문에 이 일을 해야 합니다.
44.50	50.90	우리도 실수를 할 것이고, 완벽하지는 않을 것입니다. 하지만 실수를 했을 때는 빨리 그것을 고칠 것입니다.
51.80	59.10	예를 들어, USAID를 통해 우리가 우연히 간략하게 캐슬링한 것 중 하나는 에볼라 예방이었습니다.
59.10	60.60	저는 우리 모두가 예방을 원한다고 생각합니다.
60.80	64.80	우리는 진화된 예방조치를 즉시 복구했고, 아무런 중단이 없었습니다.
64.80	70.10	그 이메일이 성과 평가로 오해받은 것 같지만, 실제로는 맥박을 체크하는 평가였습니다.
70.70	71.80	맥박이 있나요?
73.80	75.20	당신에게는 맥박과 두 개의 뉴런이 있습니다.
76.70	84.90	그러니 듀런트의 사도님, 이메일에 답장해 주시면, 우리는 필수적인 일을 하는 모든 사람이 그 일을 계속할 수 있기를 바랍니다.
84.90	93.50	글쎄요. 하지만 그 일이 필수적이지 않거나, 그 일을 하지 않는다면, 그들은 당연히 공적 급여를 받아서는 안 됩니다.
