start_time	end_time	translated_text
0.10	3.00	당신은 이스라엘과 가자지구에서 벌어지고 있는 현재 전쟁이 끝나기를 어떻게 바라고 있나요?
3.80	4.20	어떤 길?
4.20	11.30	이 지역에서는 장기적으로 인간의 고통을 최소화할 수 있다는 것이 반직관적인 것으로 보시나요?
11.30	23.10	비록 어렵더라도 제가 해야 할 일은 이스라엘이 모든 면에서 가능한 가장 눈에 띄는 친절 행위를 하는 것이라고 권고하는 것입니다.
23.30	27.40	화성의 목표를 실제로 이룬 모든 것.
28.00	29.80	이것은 결국 더 넓은 범위의 싸움입니다.
30.00	31.90	이 지역에는 증오심이 강합니다.
32.40	32.80	예.
33.40	34.10	눈에는 눈으로.
34.10	35.00	모든 사람을 실명시킨다.
35.40	39.00	진짜 질문은, 하마스 구성원을 한 명 죽일 때마다?
39.00	40.00	몇 개나 만들었나요?
41.60	45.10	만약 당신이 죽인 것보다 더 많은 것을 창조한다면, 당신은 성공할 수 없습니다.
